id,SMILES,MLM,HLM,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea,Position,MLM_raw,HLM_raw
TRAIN_0033,CCN(CC)S(=O)(=O)c1ccc(S(=O)(=O)NCc2cccs2)cc1,7.74,13.78,1.879,388.525,4,1,8,1.937,128.54,CPK-M1-013683-F04,7.743024108,13.78348164
TRAIN_0034,Oc1ccc(-c2nc(-c3ccc(F)c(F)c3)no2)cc1Cl,54.9,58.7,3.978,308.667,3,1,2,3.827,59.15,CPK-M1-008582-E05,54.9,58.7
TRAIN_0035,O=C(Nc1ccccc1Cl)NC1(C(=O)N2CCC(O)CC2)CCCCC1,81.57,99,2.237,379.881,3,3,3,2.237,81.67,CPK-M1-013691-G10,81.57141539,>99
TRAIN_0036,Cc1cc(C)n2nc(C(=O)N3C[C@@H](N)C[C@H]3C(=O)NC(C)C)cc2n1,81.95,82.29,-0.488,344.411,5,2,3,-1.031,105.61,CPK-M1-013686-D11,81.94759847,82.29214461
TRAIN_0037,Cc1ccc(C2CC(c3c(O)[nH]c(=O)n(C)c3=O)=NN2)s1,32.111,24.242,0.631,306.34,4,3,2,0.622,122.27,CPK-M1-010393-G06,32.11117173,24.24194768
TRAIN_0038,COCCN(C)C(=O)Cn1c(-c2ccccc2)nn(-c2cccc(C)c2)c1=O,51.993,54.414,2.483,380.44,4,0,7,2.483,65.45,CPK-M1-009573-D04,51.99309462,54.41423786
TRAIN_0039,Cc1ccc(CNC(=O)N2Cc3c(sc4c3CCCC4)-n3cccc3C2C(C)C)cc1,0.62,1.3,6.433,433.609,1,1,3,6.433,65.5,CPK-M1-013694-C11,0.621065324,1.3032406
TRAIN_0040,COc1ccc(OCCNC(=O)c2cc(S(=O)(=O)N(C)C)c(Cl)cc2Cl)cc1,1.46,32.55,3.099,447.333,5,1,8,3.099,93.32,CPK-M1-018174-D08,1.460352784,32.54523995
TRAIN_0041,CCN(CC)S(=O)(=O)c1cc(Br)cnc1N,10.295,37.138,1.034,308.195,3,1,4,1.034,84.67,CPK-M1-010394-H08,10.29476324,37.13774791
TRAIN_0042,CC(C)n1nc(CNc2ccc(Cl)cc2)[nH]c1=O,90.61,67.631,2.131,266.727,2,2,4,2.13,56.73,CPK-M1-009570-F09,90.61045871,67.63134161
TRAIN_0043,CC1C(S(C)(=O)=O)=NNc2c(-c3ccccc3)cnn21,26.23,92.78,1.885,290.341,4,1,2,1.885,84.72,CPK-M1-018177-G04,26.23227071,92.78281517
TRAIN_0044,CCOC(=O)c1ccc(NC(=O)c2ccc(-n3nncc3C)cc2)cc1,0.38,5.48,2.723,350.371,5,1,6,2.723,86.11,CPK-M1-013689-F11,0.382102942,5.476815262
TRAIN_0045,COn1c(Br)c(Br)c(Br)c1C(=O)Nc1ccc(Br)cc1,30.439,23.795,2.867,531.82,2,1,3,2.867,43.26,CPK-M1-010396-B09,30.43901301,23.7947118
TRAIN_0046,COc1c(Br)ccc2c1sc1ncnc(NC(C)C(=O)O)c12,77.245,39.943,3.357,382.232,5,2,4,1.943,112.58,CPK-M1-009573-D12,77.24548521,39.94260694
TRAIN_0047,O=C(Nc1cccc2c1N(c1ncccn1)CC2)c1ccccc1,0.08,1.34,3.187,316.357,3,1,3,3.187,58.12,CPK-M1-013692-A11,0.081449883,1.338217486
TRAIN_0048,N#Cc1nccnc1OC1CCN(C(=O)c2ccc(N3CCOCC3)cc2)C1,73.91,76.87,1.181,379.412,6,0,4,1.181,91.58,CPK-M1-013695-E12,73.9125305,76.86951373
TRAIN_0049,COc1ccc(-n2ccnc2-c2nccn2[C@@H]2c3ccccc3C[C@@H]2O)cc1,0.44,38.97,3.084,372.42,4,1,4,3.193,65.1,CPK-M1-018177-A08,0.438510569,38.97102201
TRAIN_0050,CC(=O)c1cnc2c(C)c(-c3ccc(C)cc3)nn2c1C,0.2,1.16,3.044,279.336,3,0,2,3.044,47.26,CPK-M1-018176-D10,0.199307789,1.162465743
TRAIN_0051,CN(C)S(=O)(=O)c1ccc(Br)c2ccccc12,24.971,7.63,2.603,314.198,2,0,2,2.603,45.76,CPK-M1-009578-E06,24.97088068,7.629703817
TRAIN_0052,COc1ccc(NC(=O)COCc2ccccc2)cc1,2.41,0.12,2.254,271.311,3,1,6,2.254,47.56,CPK-M1-013691-G08,2.414312213,0.118724128
TRAIN_0053,COc1cc(Br)c(S(=O)(=O)N[C@@H]2CCCN(C(=O)c3ccccc3)C2)cc1OC,14.402,37.45,3.009,483.376,5,1,6,3.009,93.32,CPK-M1-008579-C08,14.40171446,37.45010321
TRAIN_0054,CC(=O)N(c1nc(COC(=O)/C=C/c2cnn(C)c2)cs1)c1c(C)cc(C)cc1C,0.076,0.441,3.96,424.516,5,0,7,3.965,105.56,CPK-M1-008580-G09,0.075827335,0.441458433
TRAIN_0055,CN1N=C(c2ccc(-n3cncn3)cc2)CC1c1cnn(C)c1,59.112,96.918,1.283,307.353,4,0,3,1.283,64.13,CPK-M1-009572-F03,59.1123611,96.91780228
TRAIN_0056,COC(=O)C1C(C(=O)OC)C2(OC(c3ccccc3)=CC2=O)C12OC(c1ccccc1)=CC2=O,60.227,22.004,2.37,460.432,8,0,6,2.37,105.2,CPK-M1-009575-B04,60.2268675,22.00379317
TRAIN_0057,O=C(c1cc2cc(Br)c3ncccc3c2s1)N1CCN(c2ccccc2)CC1,78.55,70.72,4.961,452.367,2,0,2,4.961,64.68,CPK-M1-013694-H03,78.54846321,70.72001455
TRAIN_0058,Cc1nc2ccccc2c(=O)n1-c1ccc(Cl)c(O[C@H]2CCN(C)C2)c1,67.683,92.459,3.308,369.845,4,0,3,2.389,45.14,CPK-M1-008581-B08,67.68305373,92.45944215
TRAIN_0059,CC(=O)N1CCC(C(=O)N2CCN(c3cc(Cl)ccc3C)CC2)CC1,59.97,88.29,2.245,363.882,2,0,2,2.245,43.86,CPK-M1-013688-F09,59.96677087,88.289892
TRAIN_0060,COc1cc(=O)n2c(c1C(=O)Nc1ccc3c(c1)OCCO3)CCCC2,50.85,85.03,1.182,356.372,5,1,3,1.182,77.1,CPK-M1-013695-G05,50.84618556,85.0280663
TRAIN_0061,Cc1[nH]c(C(=O)NCc2ccc3c(c2)OCO3)c(C)c1S(=O)(=O)N1CCCCCC1,86.6,83.01,2.896,433.521,5,2,5,2.896,109.11,CPK-M1-018179-B04,86.59759298,83.00593738
TRAIN_0062,CCCn1c(=O)c2ccc(C(=O)NC3CCCC3)cc2n2c(=O)n(Cc3ccc(C)cc3)nc12,23.86,70.13,4.57,459.54,4,1,6,4.57,85.32,CPK-M1-018173-A08,23.86299308,70.13162654
TRAIN_0063,CC(C)(C)OC(=O)NC1CCN(c2nnc(Cl)c3ccccc23)CC1,1.451,36.757,3.434,362.854,4,1,4,3.434,67.34,CPK-M1-008579-C06,1.4514542,36.75659381
TRAIN_0064,O=C(Nc1ccccc1)c1cn2c(n1)C(c1ccccc1)N(C(=O)c1ccccc1)CC2,61.34,99.99,3.864,422.478,3,1,4,3.864,67.23,CPK-M1-018172-F04,61.33528736,>99.99
TRAIN_0065,Cc1cc(C)cc(N(C)S(=O)(=O)c2ccsc2-c2nc(-c3cccnc3)no2)c1,6.34,36.08,3.614,426.512,5,0,5,3.614,125.8,CPK-M1-008580-F03,6.339979431,36.07952692
TRAIN_0066,O=C(NC1Cc2ccccc2C1)NC1CCCn2ncnc21,84.463,87.058,1.716,297.355,3,2,2,1.716,71.84,CPK-M1-009578-H06,84.46337514,87.05795146
TRAIN_0067,CC(=O)N1c2ccc(S(=O)(=O)Nc3ccc(C(=O)c4c(C)nc5sccn45)cc3)cc2CC1C,7.12,38.47,2.683,494.586,5,1,5,2.717,137.46,CPK-M1-018177-E06,7.124026408,38.47019688
TRAIN_0068,CS(=O)(=O)c1ccc(Nc2ccc3sc(C(=O)O)cc3c2)c(F)c1,99,95.61,3.894,365.399,4,2,4,2.423,120.08,CPK-M1-013687-C08,>99,95.60569969
TRAIN_0069,Cc1cc(=O)c(C(=O)Nc2nc3ccccc3nc2N2CCCC2)nn1-c1ccc(Cl)cc1,51.01,88.06,4.946,460.916,5,1,4,4.946,90.79,CPK-M1-018172-E04,51.01421023,88.05772854
TRAIN_0070,Cc1cc(Br)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2cc(F)nc(F)c2)c1,62.96,60.46,4.823,478.287,4,1,5,4.824,79.37,CPK-M1-018176-G07,62.95877325,60.46057738
TRAIN_0071,CC(C)COc1cc(=O)n2c(c1C(=O)NCC1CCCCC1)CCCCC2,0.28,0.44,3.657,374.517,3,1,6,3.657,58.64,CPK-M1-013694-G09,0.280605039,0.441872541
TRAIN_0072,Cc1cc(C)n(CCCN(C)Cc2cn(C(C)C)c3cc(F)ccc23)n1,2.76,4.7,4.123,356.48,2,0,7,4.027,25.99,CPK-M1-013686-D06,2.762446117,4.701554376
TRAIN_0073,O=c1cc(-c2ccccc2)oc2ccccc12,17.256,8.103,3.136,222.239,2,0,1,3.136,26.3,CPK-M1-008577-G12,17.25575031,8.103450703
TRAIN_0074,CC(=O)Nc1ccc(-n2nnc(C(=O)NCCCN(C)C)c2N)cc1,86.931,72.384,-0.075,345.4,5,3,7,-1.498,118.17,CPK-M1-009578-D04,86.93086654,72.38360796
TRAIN_0075,O=C(Cc1noc2ccccc12)N1CCn2c1nc1ccccc12,0.041,64.073,3.019,318.329,3,0,2,3.019,64.16,CPK-M1-010395-A04,0.040754911,64.0728838
TRAIN_0076,CCN(CC)CCCNc1oc(-c2ccco2)nc1S(=O)(=O)c1ccc2c(c1)OCCO2,31.636,41.949,3.307,461.531,6,1,10,1.753,115.42,CPK-M1-009571-H07,31.63601487,41.94853931
TRAIN_0077,COC(=O)c1ccc(CCC(C)NCC(O)c2cccc(Cl)c2)o1,3.985,4.987,3.38,351.825,4,2,9,2.282,71.7,CPK-M1-009580-H07,3.984967428,4.987056372
TRAIN_0078,COc1cc(=O)n2c(c1C(=O)Nc1ccc(Cl)c(C)c1)CCCC2,3.25,48.46,2.547,346.808,3,1,3,2.547,58.64,CPK-M1-013697-D04,3.25415192,48.45569577
TRAIN_0079,CC(NC(=O)Nc1ccc(F)cc1Br)c1cn[nH]c1,87.254,92.326,2.305,327.152,2,3,3,2.305,69.81,CPK-M1-009576-F03,87.25419615,92.32565719
TRAIN_0080,c1ccc(C2CC(c3cccs3)Nc3ncnn32)cc1,1.65,51.47,3.098,282.363,2,1,2,3.091,70.98,CPK-M1-013689-B05,1.653543021,51.47003555
TRAIN_0081,NC(=O)c1c(-c2ccc(Cl)cc2Cl)csc1NC(=O)CC1(CC(=O)O)CCCC1,76.42,57.27,3.886,455.355,4,3,7,2.638,137.72,CPK-M1-018169-A07,76.42282821,57.27057463
TRAIN_0082,Cc1nc(C)c(S(=O)(=O)N(C)CC(C)(C)O)s1,36.174,68.768,0.113,278.392,4,1,4,0.113,107.11,CPK-M1-009571-A07,36.17370391,68.76796729
TRAIN_0083,CCOc1ccc(OCC)c(NC(=O)c2cc(S(=O)(=O)N3CCOCC3)cn2C)c1,22.83,62.58,1.675,437.51,6,1,8,1.675,107.48,CPK-M1-013695-F09,22.82586062,62.58111485
TRAIN_0084,Cc1nc(C)c(COCc2ccccc2)c(-c2ccc(Cl)cc2)c1CO,0.17,51.74,4.21,367.869,3,1,6,4.21,42.35,CPK-M1-018176-E07,0.173321725,51.73604405
TRAIN_0085,COc1ccccc1-n1c(=O)n(Cc2cccc(C)c2)c(=O)c2c(C)cc(C)nc21,0.07,0.98,4.763,401.458,4,0,4,4.763,62.73,CPK-M1-013691-B12,0.069630009,0.980344138
TRAIN_0086,Cn1c(C(F)(F)F)nn(CCNS(=O)(=O)CCN2C(=O)CCCC2=O)c1=O,67.209,99.9,-0.619,413.373,6,1,8,-0.617,127.83,CPK-M1-008580-A12,67.20931143,>99
TRAIN_0087,O=c1ccc(-c2ccc(S(=O)(=O)NCc3cccc(Br)c3)s2)n[nH]1,56.54,14.71,2.768,426.308,4,2,5,2.808,124.24,CPK-M1-018176-B10,56.53969826,14.70946656
TRAIN_0088,[H][C@]1(NC(=O)OCc2ccccc2)C2C=CC(C2)[C@@]1([H])C(O)(c1ccccc1)c1ccccc1,53.39,38.995,4.908,425.519,3,2,7,4.908,58.56,CPK-M1-008582-B12,53.38983697,38.99488403
TRAIN_0089,C[C@H]1CCCC(=O)CCCCCc2cc(OCc3ccccc3)cc(O)c2C(=O)O1,22.26,64.05,5.689,410.503,5,1,3,5.687,72.83,CPK-M1-013692-E04,22.26001581,64.04997299
TRAIN_0090,O=C(COc1ccc2c3ccccc3n(C(=O)c3cccnc3)c2c1)N1CCCCC1,0.1,0.39,3.993,413.468,4,0,4,3.966,64.43,CPK-M1-013684-D03,0.10113134,0.387980088
TRAIN_0091,O=c1[nH]ccn2nc(-c3ccc(F)cc3)c(CO)c12,23.74,99.99,0.748,259.236,3,2,2,0.748,67.15,CPK-M1-018180-F06,23.73680196,>99.99
TRAIN_0092,CCC12OCC(C)(C)N1O/C(=N/c1ccccc1)N2c1ccccc1,0.33,5.95,4.995,337.416,4,0,3,5.268,37.29,CPK-M1-010396-G12,0.329754752,5.949876612
TRAIN_0093,COc1ccc(C)cc1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)cn1C,17.95,42.46,1.48,393.457,5,1,5,1.48,98.25,CPK-M1-013696-B06,17.9485522,42.46467791
TRAIN_0094,CCn1cc(S(=O)(=O)N2CCc3n[nH]c(=O)n3CC2)cn1,36.74,49.31,-0.886,312.348,5,1,3,-0.886,108.28,CPK-M1-013687-D10,36.73936644,49.306164
TRAIN_0095,COc1ccc(OC)c(NC(=O)c2ccc(N(C)S(=O)(=O)c3ccc(OC)c(OC)c3)cc2)c1,21.28,79.5,3.242,486.537,7,1,9,3.242,111.78,CPK-M1-013687-F12,21.28066482,79.49701151
TRAIN_0096,[H][C@@]1([C@H](O)c2ccnc3ccccc23)C[C@@H]2CC[N@@+]1(Cc1cc(C(C)(C)C)c(OC)c(C(C)(C)C)c1)C[C@@H]2C=C,42.176,13.036,5.763,527.76,3,1,8,5.763,42.35,CPK-M1-009581-D08,42.17625969,13.03591999
TRAIN_0097,Cc1ccc2c(c1)NC(=O)c1cc(S(=O)(=O)N(C)C)c(Oc3ccccc3Br)cc1O2,0.22,0.78,4.256,503.366,5,1,4,4.256,93.32,CPK-M1-013690-B10,0.22419471,0.776572769
TRAIN_0098,CCC(CC)CN(CC(=O)OC)S(=O)(=O)c1ccc(S(C)(=O)=O)cc1,99.91,86.97,2.284,391.503,6,0,10,2.284,114.58,CPK-M1-013686-C12,99.91194149,86.97319119
TRAIN_0099,CCc1ccc(S(=O)(=O)c2nnn3c2[nH]c(=O)c2sccc23)cc1,63.74,1.32,3.205,360.411,5,1,3,3.205,130.57,CPK-M1-018169-G06,63.73850963,1.317015911
TRAIN_0100,Cc1cccc(OCCn2cnc3c(cnn3-c3cccc(C(F)(F)F)c3)c2=O)c1,96.269,99.9,4.368,414.38,4,0,6,4.269,59.72,CPK-M1-008577-F06,96.26858514,>99
TRAIN_0101,CCn1ccc(C(=O)N2CCCN(S(C)(=O)=O)c3ccccc32)n1,11.684,7.948,1.245,348.42,4,0,3,1.244,83.88,CPK-M1-009576-G08,11.68356592,7.948245473
TRAIN_0102,Cc1ccc(OCCn2c(C)c(/C=N/n3cnnc3)c3ccccc32)cc1C,24.498,29.747,4.294,373.451,4,0,6,4.294,57.23,CPK-M1-008580-H06,24.49781561,29.74697683
TRAIN_0103,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@]31C[C@H](C)N(Cc1ccc(Br)cc1)C2,47.004,76.729,4.151,456.372,4,1,3,4.151,41.93,CPK-M1-008579-B12,47.00413343,76.72921051
TRAIN_0104,O=c1[nH]c2c(c(=O)n1-c1cccc(F)c1)S(=O)CC2,81.13,92.24,0.156,280.275,3,1,1,0.156,85.69,CPK-M1-013692-A07,81.13256559,92.23716489
TRAIN_0105,CCCSc1nc(OC)c(-c2ccccc2C)c(=O)n1C,0.994,17.326,4.162,304.407,4,0,5,4.162,67.2,CPK-M1-008581-G07,0.99430716,17.32568618
TRAIN_0106,CS(=O)(=O)N1CCN(CCOc2ccc3c(c2)C(c2cc(F)cc(F)c2)=C(c2cccnc2)C3=O)CC1,2.904,4.686,3.219,525.567,6,0,7,3.086,88.19,CPK-M1-009580-E03,2.904273566,4.685882377
TRAIN_0107,COc1ccc(S(=O)(=O)Nc2ncccn2)cc1,67.15,82.11,1.043,265.288,5,1,4,1.14,89.56,CPK-M1-013694-C08,67.14609772,82.10520241
TRAIN_0108,COC(=O)C1(C)Cc2ccc(Cl)cc2C(=O)O1,2.335,0,2.578,254.666,4,0,2,2.578,52.6,CPK-M1-009570-G05,2.335484234,0
TRAIN_0109,CCn1nc(-c2cc(C)ccc2Cl)nc1N(C)C,0.14,5.25,3.619,264.754,2,0,3,3.618,33.95,CPK-M1-018177-G11,0.13998275,5.246165091
TRAIN_0110,CCCc1cc(-n2ccnc2C)n2nc3nc(C)cc(C)c3c2n1,39.47,82.21,3.129,320.392,4,0,3,3.436,60.9,CPK-M1-013683-F06,39.46894215,82.20541031
TRAIN_0111,N#Cc1nc(-c2ccccc2F)oc1NCC1CCCO1,9.17,20.08,2.457,287.289,3,1,4,2.457,71.08,CPK-M1-013692-A03,9.166124984,20.07662648
TRAIN_0112,O=C1OCc2c(-c3ccccc3)sc(-c3ccc4c(c3)OCO4)c21,36.9,53.72,4.488,336.361,4,0,2,4.488,73,CPK-M1-013684-C11,36.9,53.72166945
TRAIN_0113,Cc1ccc(-c2nc3scc(CCNS(=O)(=O)c4ccc(Br)cc4)n3n2)cc1,1.09,6.18,4.169,477.398,4,1,6,4.176,112.97,CPK-M1-018170-E09,1.086270321,6.183837478
TRAIN_0114,O=C(Cn1c(=O)n2nc(-c3cccnc3)nc2c2c3c(sc21)CCC3)NCc1ccco1,53.886,39.402,2.461,446.482,5,1,5,2.465,134.38,CPK-M1-009579-F07,53.88599322,39.40159426
TRAIN_0115,CC(C)(C)CNCCn1c(=S)[nH]c2c(Cl)nccc21,99.9,97.176,3.681,298.835,3,2,5,2.471,72.28,CPK-M1-008583-G10,>99,97.17604797
TRAIN_0116,COc1cc(C2c3c(-c4ccccc4)nn(C)c3C(=O)N2Cc2ccco2)cc(OC)c1O,17.394,9.026,3.988,445.467,5,1,6,3.936,89.96,CPK-M1-009573-B11,17.39355831,9.02649517
TRAIN_0117,Cc1sc2c(c1C)c1nnc(SCCN(C)C)n1c1nnc(SCCN(C)C)n21,58.275,57.392,4.282,450.648,8,0,8,1.896,145.7,CPK-M1-008578-A11,58.27471271,57.39210565
TRAIN_0118,CN(Cc1ccccc1)C(=O)c1c(OCC2CC2)cc(=O)n2c1CCOCC2,53.64,99.35,1.262,382.453,4,0,6,1.262,59.08,CPK-M1-013695-F08,53.63819667,99.34973819
TRAIN_0119,COc1ccc(N)cc1N1CCCCS1(=O)=O,94.092,99.9,0.644,256.321,3,1,2,0.62,81.01,CPK-M1-009577-B06,94.0922721,100.8657551
TRAIN_0120,CC(C)(C)c1ccc(Oc2ccc(N)c(Cl)c2)cc1,14.727,76.354,4.708,275.773,1,1,3,4.708,35.25,CPK-M1-010394-D03,14.72732435,76.35361329
TRAIN_0121,CN1CCCC2(CCN(C3CCN(c4ccc(F)c(F)c4)CC3)C2)C1=O,61.1,71.77,2.54,363.445,2,0,2,0.974,26.79,CPK-M1-013688-B10,61.09884583,71.77190313
TRAIN_0122,CC(C)CC(O)C1CCN(C(=O)CCCn2cncn2)CC1,26.04,89.25,1.251,308.419,4,1,7,1.251,71.25,CPK-M1-013691-H04,26.03510823,89.25269932
TRAIN_0123,Cc1c(C)n(CCN2CCOCC2)c2ncn3nc(-c4ccc(Cl)cc4Cl)nc3c12,99.99,99.99,4.102,445.345,5,0,4,4.108,60.48,CPK-M1-018175-H07,>99.99,>99.99
TRAIN_0124,CC1(C)CC(NC(=O)CCc2nc3ncc(Br)cc3[nH]2)CC(C)(C)N1,70.7,62.89,1.563,408.336,4,3,4,0.589,82.69,CPK-M1-013691-E05,70.69572408,62.8858384
TRAIN_0125,COC(=O)c1[nH]cc(C(=O)C2CCNCC2)c1C,75.521,85.828,1.387,250.294,4,2,4,0.461,71.19,CPK-M1-010396-C03,75.52112582,85.82790645
TRAIN_0126,CCCn1c(=O)c2ccc(C(=O)NC(C)C)cc2n2c(=O)n(Cc3ccc(C)cc3)nc12,25.94,99.99,3.894,433.503,4,1,6,3.894,85.32,CPK-M1-018179-C09,25.94414007,>99.99
